transaction_id,card_number,amount,currency,timestamp,status
TXN001,123456******1111,23.45,PLN,2025-05-01 14:32:00,approved
TXN002,123456******1111,99.99,PLN,2025-05-01 14:35:00,approved
TXN003,123456******2222,12000.00,PLN,2025-05-01 14:40:00,approved
TXN004,123456******3333,12.00,PLN,2025-05-01 14:50:00,declined
TXN005,123456******4444,8.00,PLN,2025-05-01 15:10:00,declined
TXN006,123456******2222,75.55,PLN,2025-05-02 11:20:00,approved
TXN007,123456******5555,450.00,PLN,2025-05-02 12:15:00,reversed
TXN008,123456******2222,-30.00,PLN,2025-05-02 13:00:00,approved
TXN009,123456******1111,39.99,PLN,2025-05-02 13:01:00,approved
TXN010,123456******1111,41.99,PLN,2025-05-02 13:01:30,approved
TXN011,123456******1111,49.99,PLN,2025-05-02 13:01:45,approved
TXN012,123456******1111,52.99,PLN,2025-05-02 13:01:55,approved
TXN013,123456******1111,59.99,PLN,2025-05-02 13:01:59,approved
TXN014,123456******1111,62.99,PLN,2025-05-02 13:02:00,approved
TXN015,123456******2222,29.99,PLN,2025-05-03 09:00:00,unknown
TXN016,123456******6666,110.00,PLN,2025-05-03 11:00:00,declined
TXN017,123456******3333,89.00,PLN,2025-05-04 17:00:00,approved
TXN018,123456******3333,72.50,PLN,2025-05-04 18:15:00,approved
TXN019,123456******3333,15.00,PLN,2025-05-05 10:20:00,approved
TXN020,123456******3333,0.00,PLN,,approved
